酒店名称,酒店类型,最低房价,客房数,地址,最近地铁站直线距离,最近地铁站步行至时间,最近地铁站,好评率,总评分,点评总数,设施评分,服务评分,卫生评分,位置评分,性价比评分,入住时间,退房时间,停车场,免费WIFI,餐厅,健身房,游泳池,接机服务,会议室,行李寄存,装修日期,开业日期,电话,酒店简介,酒店链接
金奥诺阁雅酒店(南京奥体中心店),高档型,¥398起,72,河西/奥体中心/奥南地区 | 楠溪江东街85号(办理入住为A3区),0.6公里，步行约0.7公里，预计11分钟,11分钟,距中胜地铁站直线0.6公里，步行约0.7公里，预计11分钟,95,4.9,2163,4.8,4.9,4.9,4.9,4.0,14:00,12:00,1,1,1,0,0,0,0,1,2016年04月01日,2016年01月01日,025-68081818,金奥诺阁雅酒店(南京奥体中心店)地处建邺区中心地带，是河西CBD中的一颗新星，周围有夫子庙风、鸡鸣寺、中山陵、玄武湖等景区，充分体现南京的人文气息。近百间宽敞现代的客房，以浅沙色为基调搭配山花烂漫的图案，令人置身自然的怀抱中。房内有环保青木家俬、独立冲淋房，还有可与手机双频的高端的LED电视机。所有客房均处于高层，完美通透的室内采光与窗外的城市美景交相辉映。值得一提的是，豪华双床套房和豪华套房之间可以互为联通，成为一整套家庭房。蜜巢社区全日餐厅/酒吧，各种风格色系的桌椅能自由组合搭配。除了丰盛的自助早餐，还有多款口感个性化的套餐精选、摩登下午茶也是不容错过的选择。,https://hotel.elong.com/hotel/hoteldetail?hotelId=91752241&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1101%7C%2a%7CqId%3A072d8117-8f7f-4d15-888c-f3b7936da79b%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A91752241%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
南京南站逸扉酒店,高档型,¥433起,205,雨花台南京南站地区 | 金兰路1号,748米，步行约1.5公里，预计22分钟,22分钟,距南京南站地铁站直线748米，步行约1.5公里，预计22分钟,95,4.8,1970,4.8,4.8,4.9,4.8,4.0,14:00,12:00,1,1,1,1,0,0,1,1,2020年10月01日,2020年10月01日,025-52831818,南京南站逸扉酒店位于江苏省南京市江宁区金兰路1号，毗邻南京高铁南站，仅步行3分钟即可到达南站高铁出发及到达层，交通便捷 。 酒店拥有205间智能商务客房，酒店大堂公共区域轻松典雅的环境，可品味逸扉咖啡轻食、特选精酿啤酒、甄选法国红酒，二楼逸扉UrKitchen 提供中西式自助早餐的同时，精选来自法国波尔多的葡萄酒作为店酒，为商旅客人营造浪漫氛围。 酒店拥有2个多功能会议室 ，提供多媒体音像系统；提供有线及无线宽带接入，全套专业的会议设备，满足出差办公与举行会议的需求。 逸扉酒店待客如友的服务理念，为顾客提供朋友般贴心的服务，打造舒适自在的优质商旅体验。,https://hotel.elong.com/hotel/hoteldetail?hotelId=64863176&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1101%7C%2a%7CqId%3A072d8117-8f7f-4d15-888c-f3b7936da79b%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A64863176%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
金鹰国仕达酒店(南京新街口地铁站店),高档型,¥354起,201,新街口地区/市中心 | 新街口管家桥36号,375米，步行约657米，预计9分钟,9分钟,距新街口地铁站直线375米，步行约657米，预计9分钟,93,4.8,2374,4.7,4.8,4.8,4.8,4.0,14:00,12:00,1,1,1,1,0,0,0,1,2018年05月01日,null,025-69771888,金鹰国仕达酒店(南京新街口地铁站店)位于南京市新街口中心商业区内，距离南京金鹰中心，德基广场约1公里，步行约3分钟即可到达地铁1号和2号线新街口站，地铁直达南京站和南京南站及南京禄口国际机场。酒店秉承舒适，便利，无忧所值的全新理念，为注重实效的商旅人士提供舒适，便捷的服务，是商务出行或旅游休闲的智慧之选。酒店拥有200余间客房，时尚精致，贴心配备柔软舒适床品。精致便捷的淋浴设施，质地上乘的洗浴用品和人性化的整体设计，为您提供舒奕非凡的淋浴体验。在这里，您拥有的不仅仅是温暖的睡床，干净的客房和友好的微笑，更是一个让您倍感舒适温馨，尽享自我的空间。,https://hotel.elong.com/hotel/hoteldetail?hotelId=31101053&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1101%7C%2a%7CqId%3A072d8117-8f7f-4d15-888c-f3b7936da79b%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A31101053%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
花筑奢·熙南里百戏园客栈(南京夫子庙店),高档型,¥358起,30,夫子庙景区/秦淮河风光带 | 南捕厅21号,0.4公里，步行约0.7公里，预计11分钟,11分钟,距三山街地铁站直线0.4公里，步行约0.7公里，预计11分钟,96,4.9,1804,4.8,4.9,4.8,4.9,4.0,14:00,12:00,1,1,1,0,0,0,0,1,2018年06月01日,2018年01月01日,025-85791315,客栈地处新街口商圈与夫子庙商圈核心地段，与南京民俗博物馆仅一墙之隔，周围有医院、银行、商场等场所，步行即可抵达秦淮风光带景区，紧邻地铁1号线三山街站、3号线与在建5号线，交通便捷，可实现“地铁游南京”，乘地铁可抵达南京绝大部分景点。客栈内部装修简约，格调雅致，属高端连锁民宿，院内粉墙黛瓦，古色古香，徽派马头墙、清末古戏台；入住可享管家免费规划游玩路线服务，更有品牌定制洗漱用品、美国金可儿超舒适床垫、24小时热水、暖气、高速WIFI、现磨咖啡，还有汉服体验拍照服务哦！明清时代的古戏台，池水环绕周围，坐在庭院里，不禁回想往昔时光；当走进这片街区，邂逅百戏园，感受古都漫时光；装饰雅致的茶室中，古色古香的中式陈设，搭配上一件件戏服和装饰画，尽显百戏园的主题韵味；古雅中式风情客房，走进客房之中，清丽温馨的装饰色调，搭配中式的床饰和休闲雅座，宽敞的客厅里，让家人朋友尽享旅途舒适，在浪漫奢华的浴缸里享受美妙夜晚时光。,https://hotel.elong.com/hotel/hoteldetail?hotelId=93942719&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1101%7C%2a%7CqId%3A072d8117-8f7f-4d15-888c-f3b7936da79b%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A93942719%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
筱满·AZITA设计师城市客栈(南京玄武湖店),高档型,¥345起,48,玄武湖湖南路地区 | 湖北路1号,583米，步行约690米，预计10分钟,10分钟,距青春广场地铁站直线583米，步行约690米，预计10分钟,95,4.8,125,4.8,4.9,4.8,4.8,0.0,14:00,12:00,1,1,0,1,0,0,1,1,null,2022年03月01日,025-57796602,客栈隶属于南京开元香山商业管理有限公司，位于湖北路1号。酒店地处湖南路商圈，毗邻玄武湖景区，步行可至狮子桥步行街，交通便利，地理位置优越。客栈以水，月，光阴，流动为设计灵感，将古希腊元素注入现代建筑，为这座有温度的酒店带来了别样的风情。酒店总共12个房型。分别为简约榻榻米、舒心大床房、风情大床房、禅意榻榻米、视享大床房、露台大床房、雅致双床房、心悦双床房、森系双床房、质朴榻榻米、悠然亲子房、峰景套房。有一种享受，叫做在扬州吃早茶，而客栈的早餐则是复制了扬州早茶的美味，有鲜美可口的红汤小馄饨，有热气腾腾的麻油菜包，有清新爽口的阳春面，有养胃的小碗粥和健康的粗粮，有扬州著名的烫干丝，再配上一杯现磨的豆浆和自制的小菜让你一天能量满满。这样品类丰富营养均衡的元气早餐，还不足以叫醒你沉睡的灵魂？,https://hotel.elong.com/hotel/hoteldetail?hotelId=71714136&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1101%7C%2a%7CqId%3A072d8117-8f7f-4d15-888c-f3b7936da79b%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A71714136%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
吉尔福德酒店,高档型,¥668起,27,夫子庙景区/秦淮河风光带 | 贡院街33号,305米，步行约336米，预计5分钟,5分钟,距夫子庙地铁站直线305米，步行约336米，预计5分钟,100,5.0,5,5.0,5.0,5.0,5.0,0.0,14:00,12:00,1,1,1,0,0,1,0,1,null,2022年06月01日,025-66667599,住：酒店拥有30平-65平特色智慧客房，配备了电动窗帘，智能马桶，全屋电器智能语音控制，由小度管家为您提供尊贵服务。                          景：酒店坐落于秦淮河畔，河景客房将河畔美景尽收眼底，在秦淮画舫的穿行中梦回古时金陵。                                                    行：酒店位于南京中心地段，交通便利，出门即是夫子庙，步行可达老门东。距夫子庙地铁站步行仅需3分钟，3站可达新街口，6站直达南京南站，13站直达禄口机场。                                                                                                                                        食：酒店大堂餐吧，可享各式创新美食。房内送餐服务让您在休憩时补充满满元气。,https://hotel.elong.com/hotel/hoteldetail?hotelId=10018105&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1101%7C%2a%7CqId%3A072d8117-8f7f-4d15-888c-f3b7936da79b%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A10018105%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
南京新街口王府大街亚朵酒店,高档型,¥441起,156,新街口地区/市中心 | 秣陵路99号,611米，步行约794米，预计12分钟,12分钟,距上海路地铁站直线611米，步行约794米，预计12分钟,95,4.9,2743,4.8,4.9,4.9,4.9,4.0,14:00,12:00,1,1,1,0,0,0,1,1,2019年01月01日,2016年02月01日,025-86887888,南京新街口王府大街亚朵酒店位于秣陵路，地处核心商务区、外立面醒目，交通便利。亚朵是云南怒江边中缅边境一个小村庄：自然、静谧、温暖、朴实。亚朵人，热爱生活，喜欢阅读、摄影、音乐，追求品质、乐于分享。亚朵酒店，倡导自然、健康的生活方式；这里有清新、舒适的环境，雅致、开放的空间。在亚朵休憩、充电，你能得到身心的放松和愉悦的体验。酒店提倡真诚有爱的服务，使客人感受到邻里间亲切的、超预期的关怀，营造有爱且独立的空间。客房配备记忆棉制品，给客人星级的舒适享受，从此恋上这张床；50M无线覆盖，宽大的办公空间，随手插座。中西结合的精致餐饮，满足客人的多种味蕾要求，还有“亚朵”品牌红酒带给你不一样的感受。竹居——流动的图书馆，无抵押借阅，可异地归还，更有亚朵系列图书等你来看。这里还能摄影，突出酒店当地具有代表性的人文特色，由国内外著名摄影师拍摄。一带江城新雨后，亚朵深处秣陵关,https://hotel.elong.com/hotel/hoteldetail?hotelId=90988086&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1101%7C%2a%7CqId%3A072d8117-8f7f-4d15-888c-f3b7936da79b%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A90988086%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
南京一文宾馆(禄口国际机场店),经济型,¥105起,29,江宁区 | 禄口街道石埝社区门塘头22号,2.0公里，驾车约5.5公里，预计10分钟,10分钟,距禄口机场地铁站直线2.0公里，驾车约5.5公里，预计10分钟,87,5.0,820,5.0,5.0,5.0,5.0,4.0,14:00,12:00,1,1,0,0,0,1,0,1,null,2019年08月01日,18914790178,南京一文宾馆位于禄口国际机场大约直线1.9公里，环境优美，24小时有专车接送，7、8分钟左右的车程。所有房间都有大窗户，宽敞通透，空气清新，独立卫生间、淋浴房，24小时提供热水，干净卫生。房间有高清网络电视，免费极速上网，服务热情贴心，让您的旅途更加愉快！,https://hotel.elong.com/hotel/hoteldetail?hotelId=61236311&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1101%7C%2a%7CqId%3A072d8117-8f7f-4d15-888c-f3b7936da79b%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A61236311%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
欣航宾馆(南京禄口机场店),经济型,¥100起,25,江宁区 | 街道石埝社区张塘角3号,1.9公里，驾车约5.1公里，预计9分钟,9分钟,距禄口机场地铁站直线1.9公里，驾车约5.1公里，预计9分钟,97,4.8,870,4.8,4.9,4.8,4.8,3.9,14:00,12:00,1,1,0,0,0,1,0,1,2018年11月01日,2016年01月01日,17366007818,拥有整洁舒适的客房，房内24小时热水、独立卫浴，经济的价位，为您提供超值、舒适的入住体验。南京禄口机场附近，离禄口机场5分钟车程，旅馆附近有饭店、超市。并且可以到禄口机场免费接送。,https://hotel.elong.com/hotel/hoteldetail?hotelId=92791390&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1101%7C%2a%7CqId%3A072d8117-8f7f-4d15-888c-f3b7936da79b%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A92791390%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
南京馨茉莉花园酒店(东部战区总医院解放路店),舒适型,¥200起,77,明故宫及南京博物院地区 | 解放路40号,0.7公里，步行约0.9公里，预计14分钟,14分钟,距西安门地铁站直线0.7公里，步行约0.9公里，预计14分钟,94,4.7,2605,4.7,4.8,4.8,4.8,4.0,14:00,13:00,1,1,0,0,0,1,0,1,2016年09月01日,2016年05月01日,025-57608899,酒店地段优越。客房温馨舒适，干净整洁，是您理想的入住场所。,https://hotel.elong.com/hotel/hoteldetail?hotelId=91750308&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A1101%7C%2a%7CqId%3A072d8117-8f7f-4d15-888c-f3b7936da79b%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A1101%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar1%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A91750308%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
