酒店名称,酒店类型,最低房价,客房数,地址,最近地铁站直线距离,最近地铁站步行至时间,最近地铁站,好评率,总评分,点评总数,设施评分,服务评分,卫生评分,位置评分,性价比评分,入住时间,退房时间,停车场,免费WIFI,餐厅,健身房,游泳池,接机服务,会议室,行李寄存,装修日期,开业日期,电话,酒店简介,酒店链接
天津泛太平洋大酒店,豪华型,¥571起,319,天津站/古文化街/意大利风情区 | 张自忠路1号,78米，步行约171米，预计3分钟,3分钟,距东北角地铁站直线78米，步行约171米，预计3分钟,93,4.8,3870,4.7,4.7,4.8,4.8,4.0,14:00,12:00,1,1,1,1,1,1,1,1,null,2014年10月01日,022-58638888,酒店位于张自忠路，地处天津的发源地三岔河口，紧邻具有百年历史的金刚桥和狮子林桥，邻近天津之眼摩天轮、古文化街、天后宫、大悲院，望海楼教堂和意式风情区，方便前往风景旖旎的海河及城内繁荣的金融商务区。酒店设计充满格调与品味。客房空间宽敞明朗，线条简约，氛围优雅。入住河景客房，你可观赏海河的风景，在放松身心之余感受天津深厚的文化底蕴，为你的天津之旅增添一抹亮色。酒店内完善先进的会议设施是各类会议、活动的上佳选择。不论是提供地道粤菜的海天楼中餐厅，还是全日餐厅帕西菲嘉西餐厅，都能让你拥有清新的泛太平洋体验。各类休闲运动设备令你挥洒汗水、焕发活力。酒店距离天津市桃花堤运河公园约10分钟车程，每年3月份都会举办桃花节，吸引许多游客前往参观游览，感受春天万物复苏的一派繁荣景象。酒店距离天津德云社剧场约1.1公里，骑行约10分钟，一路既可以欣赏天津海河沿岸的美景，又可以感受天津城市的烟火气。,https://hotel.elong.com/hotel/hoteldetail?hotelId=90546581&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A301%7C%2a%7CqId%3A3b251bd9-175b-4119-b2b0-b8534e85ab32%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A0%7C%2a%7ChId%3A90546581%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
天津海河悦榕庄,豪华型,¥813起,153,天津站/古文化街/意大利风情区 | 海河东路34号,625米，步行约755米，预计11分钟,11分钟,距建国道地铁站直线625米，步行约755米，预计11分钟,94,4.8,3648,4.7,4.8,4.8,4.8,4.0,14:00,12:00,1,1,1,1,1,1,1,1,null,2013年05月01日,022-58619999,天津海河悦榕庄位于河北区海河东路，几步之遥便是古文化街，琳琅满目的工艺品和当地特产商品随处可见。酒店拥揽无与伦比的海河美景，区位优势十分明显。酒店整体设计现代感十足，其高贵典雅的气质令人眼前一亮，为之驻足。海河悦榕庄拥有商务行政房、豪华河景房、河景套房等多种房型供您选择，可满足顾客不同的入住需求。同时，酒店还配备了健身室、桑拿浴室、SPA、足浴、室内游泳池等，让您尽享尊贵与惬意。天津海河悦榕庄让宾客在这里感受到激情和浪漫，并让您在快节奏的都市生活中体会别样的风情。,https://hotel.elong.com/hotel/hoteldetail?hotelId=50301123&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A301%7C%2a%7CqId%3A3b251bd9-175b-4119-b2b0-b8534e85ab32%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A1%7C%2a%7ChId%3A50301123%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
天津水游城丽筠酒店,豪华型,¥521起,261,天津西站/学府区 | 芥园道6号,536米，步行约850米，预计13分钟,13分钟,距天津市中医药研究院附属医院直线536米，步行约850米，预计13分钟,94,4.8,4713,4.8,4.8,4.8,4.8,4.0,14:00,12:00,1,1,1,1,1,1,1,1,2017年07月01日,2011年11月01日,022-58776666,天津水游城丽筠酒店坐落于天津市中心，酒店毗邻天津之眼，天津西站，鼓楼，古文化街，南市食品街，意式风情街，鼓楼商业街等旅游景点；酒店坐落于天津市中心地段，地处芥园道与大丰路交口处，周边有水游城，陆家嘴，富力城，天佑城，大悦城等大型商场为您购物提供方便。酒店周边交通便利，乘地铁1号线西北角站下B出口步行约2分钟即可到达酒店。酒店拥有多间风格时尚、宽敞舒适的客房。所有客房及公共区域均覆盖无线网络，满足你的需求。水游全日餐厅为你提供西式及中式精选菜肴，有最多可容纳20人用餐的中餐包房，提供经典粤菜及特色津菜。大堂吧提供丰富酒水饮料，惬意的氛围尽在其间。710平方米无柱式宴会厅可容纳400人，7间设备先进的会议室及多功能厅，可根据场合进行调整，以满足不同需求。此外，酒店康体中心提供设备齐全的健身器材，并设室内游泳池、干蒸和湿蒸室、水疗和棋牌室，使你放松身心及焕发活力。酒店三层更可直接进入相连的水游城商业中心。,https://hotel.elong.com/hotel/hoteldetail?hotelId=50301056&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A301%7C%2a%7CqId%3A3b251bd9-175b-4119-b2b0-b8534e85ab32%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A2%7C%2a%7ChId%3A50301056%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
天津富力万达文华酒店,豪华型,¥587起,291,河东/万达商业区 | 大直沽八号路486号,0.4公里，步行约0.6公里，预计9分钟,9分钟,距东兴路地铁站直线0.4公里，步行约0.6公里，预计9分钟,95,4.9,5219,4.8,4.8,4.9,4.9,4.0,14:00,12:00,1,1,1,1,1,1,1,1,null,2013年09月01日,022-24626888,天津富力万达文华酒店位于天津河东区大直沽八号路，紧邻美丽的海河。酒店周边交通便利，乘地铁9号线东兴路下B出口步行5分钟即可到达酒店。酒店距天津站5公里，打车10分钟即达；离天津滨海机场约18公里，打车约30分钟可达。天津富力万达文华酒店是一家涉外酒店，共有各类客房与套房近三百间，每间客房均配有热带雨林式淋浴设施、独立的浴缸。大部分客房内可饱览海河的迷人风光。酒店还备有琳琅满目的佳肴美馔、高水准的会议和宴会场地与设施，会令您的活动大获成功。,https://hotel.elong.com/hotel/hoteldetail?hotelId=50301169&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A301%7C%2a%7CqId%3A3b251bd9-175b-4119-b2b0-b8534e85ab32%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A3%7C%2a%7ChId%3A50301169%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
美豪丽致酒店(天津五大道滨江道店),高档型,¥302起,90,滨江道/小白楼/五大道度假区 | 南京路131号微沃大厦,1.9公里，驾车约2.4公里，预计7分钟,7分钟,距大王庄地铁站直线1.9公里，驾车约2.4公里，预计7分钟,94,4.7,3155,4.7,4.8,4.8,4.8,4.0,10:00,13:00,1,1,1,0,0,0,1,1,null,2019年09月01日,022-58171668,酒店地处于天津CBD商业广场圈内，美豪丽致酒店是美豪集团历时七年研发为中高端商旅人群打造的城市休闲胜地，由国内酒店设计大奖冠军得主精心设计，装修风格采取回归自然的青砖、原木、水泥墙为主基调，配合吊篮、沙发、鸟笼床的随心摆设，时尚自然，舒适清新。房间内使用飞利浦4K超清大电视，搭配飞利浦互联网生态系统，配合家庭环绕立体声音响系统，在房间内即可体验影院级观影体验。卫浴使用国际一线品牌科勒、乐佳、美标等品牌，配置智能淋浴温控系统，恒温+5S出水系统，多重水压供您选择。忙碌过后，洗个热水澡，可以让您的身体得到全身心的放松。客房床垫采用国际一线品牌，皇室白兰，符合人体设计工学，能够有效的消除疲劳，布草使用80*80高密度绸质贡缎，贴身丝滑，柔软舒适。,https://hotel.elong.com/hotel/hoteldetail?hotelId=60319625&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A301%7C%2a%7CqId%3A3b251bd9-175b-4119-b2b0-b8534e85ab32%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A4%7C%2a%7ChId%3A60319625%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
瑞达春天精品酒店(天津卫国道店),高档型,¥298起,94,河东/万达商业区 | 卫国道124号,1.0公里，驾车约2.7公里，预计4分钟,4分钟,距翠阜新村地铁站直线1.0公里，驾车约2.7公里，预计4分钟,92,4.8,1486,4.7,4.8,4.8,4.8,4.0,14:00,12:00,1,1,1,1,0,0,1,1,2018年01月01日,2015年05月01日,022-24562222,瑞达春天精品酒店(天津卫国道店)位于天津迎宾大道（卫国道124号），地铁2、5号线换乘站；距天津中心商业区约6公里，交通四通八达。当您踏入天津瑞达春天精品酒店，员工亲切的笑容既让您感受到家外之家的温馨。透过落地窗放眼天津都市美景，身心随之放松。瑞达春天精品酒店(天津卫国道店)将中国东方神秘文化的精髓与现代高科技和功能性完美地融为一体，令积淀百年的经典魅力得以淋漓尽致地诠释。酒店的56间精品大床房全部采用100[%]红木家私（无任何辅料添加）美轮美奂，在喧闹的都市中为旅行者营造出休憩放松的非凡空间。酒店拥有70人会议室及宴会厅配备各类先进设备，适应各类会议及活动需求,https://hotel.elong.com/hotel/hoteldetail?hotelId=90858428&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A301%7C%2a%7CqId%3A3b251bd9-175b-4119-b2b0-b8534e85ab32%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A5%7C%2a%7ChId%3A90858428%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
桔子水晶天津滨江道步行街酒店,高档型,¥332起,179,滨江道/小白楼/五大道度假区 | 长春道98号,1.6公里，驾车约2.9公里，预计7分钟,7分钟,距大王庄地铁站直线1.6公里，驾车约2.9公里，预计7分钟,94,4.9,2805,4.9,4.9,4.9,4.9,4.0,14:00,12:00,1,1,1,1,0,0,1,1,2021年01月01日,2021年01月01日,022-27316988,桔子水晶天津滨江道步行街酒店位于天津市和平区劝业场街道(金街商圈)，距离地铁3号线100米，乘坐3号线可直达天津站、天津南站；滨海国际机场车程仅需25分钟左右即可到达，距梅江会展中心车程仅需30分钟左右；毗邻繁华的和平路商业街、天河城、和平大悦城、金融购物中心等；酒店位于天津市中心，周边美食云集，交通十分便利。  酒店由国外著名设计师设计，整体装饰时尚现代，设计风格是新水晶-极简风格，具有水晶的璀璨艺术、极简优雅、回归本质的特性；水晶透亮纯净，具备一定的天然性，而看似单一的水晶元素通过灯光，工艺的多样性又能折射出璀璨光芒的奇特，我们以此回归本质打造酒店文化并赋予其极简高雅的形式，又将通过不同的设计形式展现多层次气质的住宿体验。客房简约精致，房内隔音系统由清华声学所研制，可使宾客尽享一夜酣眠; 房型种类多样，房内配置液晶电视、电动窗帘、可与多种电子设备连接的音响系统等现代化设施，完善齐全，是外出旅游、商务住宿的选择。酒店附设健身房，洗衣房、会议室，早餐厅等配套设施，使宾客体验生活品质，享受出行乐趣。,https://hotel.elong.com/hotel/hoteldetail?hotelId=65053261&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A301%7C%2a%7CqId%3A3b251bd9-175b-4119-b2b0-b8534e85ab32%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A6%7C%2a%7ChId%3A65053261%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
天津津湾广场漫心酒店,高档型,¥293起,180,天津站/古文化街/意大利风情区 | 解放北路22-26号A楼1-6层,155米，步行约220米，预计3分钟,3分钟,距津湾广场地铁站直线155米，步行约220米，预计3分钟,95,4.8,877,4.8,4.9,4.9,4.9,4.0,12:00,12:00,1,1,0,0,0,0,1,1,null,2020年09月01日,022-27116688,酒店地理位置优越，位于天津母亲河海河南岸和平CBD商圈中心，地处解放北路，素有“天津华尔街”之称，周边临近滨江道步行街、天津站、瓷房子、意式风情街、古文化街、五大道、“天津之眼”，距离地铁3号线C口约120米，出行便利。酒店旧址是“美丰洋行”，虽然是身着年代感的“历史风貌建筑”外衣，但内部设计极具现代感，典雅的巴洛克建筑外形，豪华精致的内部装修风格、房间内先进的智能设施设备及闹中取静的环境，是商务休闲、浪漫情侣入住之选。作为华住集团旗下中高端设计酒店品牌，“活色生香livelively”是漫心酒店希望传递给客人的生活理念，因此，客房全部采用轻松明快的色彩，所有房间配备智能“小度”，通过和“小度”对话完全解放您的双手，实现智能自动化开关窗帘、电视、空调、灯光，24小时的贴心自动管家服务，同时客房配备热带雨林淋浴花洒、“梦百合”深睡眠乳胶优质床品、CHALI茶包（红茶、绿茶、洋甘菊）、香薰等高品质客房用品。另外，酒店还为宾客提供免费停车场、精美早餐、酒吧、各式手工咖啡、健身房、洗衣房、会议室等，工作之余可以在休闲区休息品茶，为您身心带来度假般的享受，一切只为宾客实现完美时尚的漫心之旅。,https://hotel.elong.com/hotel/hoteldetail?hotelId=64090629&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A301%7C%2a%7CqId%3A3b251bd9-175b-4119-b2b0-b8534e85ab32%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A7%7C%2a%7ChId%3A64090629%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
格林东方酒店(天津东丽开发区新立地铁站店),高档型,¥256起,114,东丽区 | 津塘公路33号,175米，步行约219米，预计3分钟,3分钟,距新立地铁站直线175米，步行约219米，预计3分钟,92,4.8,483,4.8,4.8,4.8,4.8,4.0,14:00,12:00,1,1,1,1,0,0,1,1,2020年12月01日,2020年12月01日,022-84837777,格林东方酒店(天津市东丽区新立地铁站店)，是格林酒店集团旗下的酒店品牌，格林东方酒店的形象定位为高品位，高性价比的中高档商务连锁酒店，主流客群为中高端商旅人士，格林东方的设计效果蕴含中国元素、简约古典主义，装饰构思新颖、温馨、舒适、典雅的设计风格，体现格林东方连锁酒店文化，提供超健康、超舒适、超价格、超期望的商旅体验，大堂：大气唯美，开阔明亮，简约古朴，雍容典雅，尽显触动灵魂的东方神韵之美，休息区：设有自动现磨咖啡机，是休息，会友和商务洽谈的理想场所，客房走廊：整体风格的酒店走廊，宽敞延绵的质感在这里展现，同时有效的减小了缓冲，对脚部形成有效保护，自助早餐厅：酒店内可为客人提供高品质营养自助早餐，早餐11大类，40个品种。,https://hotel.elong.com/hotel/hoteldetail?hotelId=64912159&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A301%7C%2a%7CqId%3A3b251bd9-175b-4119-b2b0-b8534e85ab32%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A8%7C%2a%7ChId%3A64912159%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
桔子水晶天津津湾广场酒店,高档型,¥335起,191,天津站/古文化街/意大利风情区 | 解放北路津湾广场1号楼及2号楼南楼,55米，步行约170米，预计2分钟,2分钟,距津湾广场地铁站直线55米，步行约170米，预计2分钟,95,4.9,4195,4.9,4.9,4.9,4.9,4.0,10:00,12:00,1,1,1,1,0,0,1,1,2021年07月28日,2015年01月01日,022-60973088,穿过百年铁桥，仿佛穿越一个世纪，来到了上个世纪的法国，各式欧洲建筑鳞次栉比，这些不同形式的建筑，就像乐曲的不同音符，起伏跌宕，宛如一曲动人的交响乐，令人心驰神往，浮想联翩。夜晚灯光旖旎，海河映衬着养眼的风光，吹吹风，看着河边悠闲的钓鱼者，您会感受到天津这座城市独有的文化底蕴和生生不息的文脉气息。桔子水晶天津津湾广场酒店位于天津市和平区海河河湾南岸，北侧海河环绕，紧连已有百年历史的解放桥(旧名：万国桥)，隔河眺望着天津站；正门朝向素有“天津华尔街”的解放北路。酒店附近餐饮娱乐设施齐全，出门步行即可游览天津海河美景，步行约5分钟即可到达天津繁华热闹的滨江道步行街。酒店是华住集团针对中高端市场的设计师品牌酒店，整体装修风格与津湾广场建筑群保持一致，突出地反映了中西文化交汇的时代特征，走进水晶大堂，您可以看到两面的古典圆拱玻璃窗配以欧式的巨大石柱和中间这三盏水晶吊灯，是整个空间大气而稳重；两侧纯色搭配青花白底的雕塑又为大堂增加一份中西合璧的华美。 酒店配有蝙蝠侠、挪威森林、拉斯维加斯、天才眼镜猫、海底世界、设计师套房、红磨坊、盗梦等多种特色房型，房间秉承桔子水晶一向的设计风格，以深色调为主，灯光模式有纽约、巴黎、伦敦三种组成，每种模式给予您不一样的体验。客房音响系统支持蓝牙，iPhone，iPad和笔记本，可与电视直接相连，房间全部可以无线上网，配备液晶电视，电动窗帘等。客房隔音系统由清华声学所设计，保证您一晚安静睡眠。酒店是您天津商务及旅行的休憩居所。,https://hotel.elong.com/hotel/hoteldetail?hotelId=90919033&inDate=2022-07-25&outDate=2022-07-26&traceToken=%7C%2a%7CcityId%3A301%7C%2a%7CqId%3A3b251bd9-175b-4119-b2b0-b8534e85ab32%7C%2a%7Cst%3Acity%7C%2a%7CsId%3A301%7C%2a%7Cscene_ids%3A0%7C%2a%7Cbkt%3Ar2%7C%2a%7Cpos%3A9%7C%2a%7ChId%3A90919033%7C%2a%7CTp%3Adefault%7C%2a%7Cpage_index%3A0%7C%2a%7Cpage_size%3A20%7C%2a%7C
